EIN,Organization Name,City,State,Unrestricted Net Assets (Most Recent Year),Months of Cash (Most Recent Year),Expenses Total (Most Recent Year),Cash and Equivalent Assets,Investments US Government,Investments Stock,Investments Bonds,Investments Other,Land Buildings Equipment,Other Assets,Expenses Total (F990),Unrestricted Net Assets (F990),Net Fixed Assets LBE,Notes Payable Mortgages,Months of Cash (F990),Expenses Total (Part 9),Depreciation Total,Cash EOY,Savings EOY,Less Depreciation,LBE EOY,Tax Exempt Bonds EOY,Secured Notes Payable EOY,Unrestricted EOY,Cash Equivalent Investible Assets (PF990),Total Expenses (PF990),Months of Cash (Liquidity),Months of Cash and Investments,Months of Estimated Liquid Unrestricted Net Assets,Cash (Balance Sheet),Investments (Balance Sheet),Receivables (Balance Sheet),Gross Land Buildings and Equipment LBE,Unrestricted Net Assets (Balance Sheet)
36-4709977,CDP North America,New York,NY,8694432,6.4,47785556,13125858,0,0,0,0,0,0,47785556,8694432,0,0,6.4,47785556,31361,13125858,12419638,398449,42945,0,0,8694432,,,6.4,6.4,2.2,25545496,0,7039736,441394,8694432
27-1226829,The Center for Large Landscape Conservation,Bozeman,MT,2720326,1,3735117,56110,0,0,0,0,0,0,3735117,2720326,0,0,1,3735117,993,56110,242773,5793,1159,0,0,2720326,,,1,14.4,8.7,298883,4187199,1031775,6952,2720326
81-2560407,Carbon180,Washington,DC,20461180,21.1,8643374,6116541,0,0,0,0,0,0,8643374,20461180,0,0,21.1,8643374,0,6116541,9056856,0,0,0,0,20461180,,,21.1,30.1,28.4,15173397,6526508,3870986,0,20461180
83-0959411,Colorado Plateau Foundation,FLAGSTAFF,AZ,6631956,35.9,1955992,5845506,0,0,0,0,0,0,1955992,6631956,0,0,35.9,1955992,2956,5845506,0,8602,7186,0,0,6631956,,,35.9,35.9,40.7,5845506,0,1279000,15788,6631956
83-0259411,Wyoming Outdoor Council,Lander,WY,8484510,14.3,1451881,1707423,0,0,0,0,0,0,1451881,8484510,0,0,14.3,1451881,19010,1707423,0,171998,2639175,0,0,8484510,,,14.3,61.2,49,1707423,5604339,145624,2811173,8484510
86-0512633,Grand Canyon Trust,Flagstaff,AZ,39930427,15.5,6769366,5820288,0,0,0,0,0,0,6769366,39930427,0,0,15.5,6769366,77288,5820288,2831966,1013854,647677,0,0,39930427,,,15.5,78.9,70.4,8652254,35367792,3900169,1661531,39930427
85-3261449,Open Earth Foundation,MARINA DEL REY,CA,3262527,2.1,1459827,258144,0,0,0,0,0,0,1459827,3262527,0,0,2.1,1459827,2984,258144,0,4923,9734,0,0,3262527,,,2.1,26.8,26.8,258144,2993865,9400,14657,3262527
81-2560407,Carbon180,Washington,DC,20461180,21.1,8643374,6116541,0,0,0,0,0,0,8643374,20461180,0,0,21.1,8643374,0,6116541,9056856,0,0,0,0,20461180,,,21.1,30.1,28.4,15173397,6526508,3870986,0,20461180
77-0155782,"The Global Fund for Women, Inc.",San Francisco,CA,43625166,15.6,33129555,43114773,0,0,0,0,0,0,33129555,43625166,0,0,15.6,33129555,0,43114773,0,0,0,0,0,43625166,,,15.6,33.4,15.8,43114773,49152386,17447027,0,43625166
23-7323629,National Family Planning & Reproductive Health Assocation,Washington,DC,3741248,9.4,6918413,5382451,0,0,0,0,0,0,6918413,3741248,0,0,9.4,6918413,21842,5382451,0,674942,50427,0,0,3741248,,,9.4,11.1,6.4,5382451,978348,26923,725369,3741248
23-7069110,Oxfam America,Boston,MA,19747546,1.6,84094310,11312195,0,0,0,0,0,0,84094310,19747546,0,0,1.6,84094310,229568,11312195,0,1982073,1164490,0,0,19747546,,,1.6,8.1,2.7,11312195,45108561,14155565,3146563,19747546
20-5263777,Medical Students for Choice,Philadelphia,PA,5459372,19.2,1552947,185007,0,0,0,0,0,0,1552947,5459372,0,0,19.2,1552947,2759,185007,2297934,26497,3363,0,0,5459372,,,19.2,45.6,42.2,2482941,3407823,319379,29860,5459372
36-4799986,National Asian Pacific American Womens Forum,Chicago,IL,12903142,31.9,5211102,1053549,0,0,0,0,0,0,5211102,12903142,0,0,31.9,5211102,2339,1053549,12783085,4872,6821,0,0,12903142,,,31.9,41.3,29.7,13836634,4090777,2634200,11693,12903142
52-2351337,CENTER FOR GLOBAL DEVELOPMENT,Washington,DC,36558036,10.7,21030372,0,0,0,0,0,0,0,21030372,36558036,0,0,10.7,21030372,619034,0,18154954,6751424,12604598,9701116,0,36558036,,,10.7,25.9,19.8,18154954,25943806,2603435,19356022,36558036
13-1687001,"Population Council, Inc.",New York,NY,110253454,3.6,79500577,18756158,0,0,0,0,0,0,79500577,110253454,0,0,3.6,79500577,1338442,18756158,4764312,28673584,6253404,0,0,110253454,,,3.6,21.7,16,23520470,117938651,11772431,34926988,110253454
47-4003615,Groundswell Fund,San Francisco,CA,26556586,19,24372876,2756386,0,0,0,0,0,0,24372876,26556586,0,0,19,24372876,36060,2756386,35850115,215810,10469,0,0,26556586,,,19,19,13.1,38606501,0,6181330,226279,26556586
